[23:40:04.685] [INFO   ] thread main starting.
[23:40:04.725] [SEVERE ] cannot read configuration file config.properties trying from resources.
[23:40:36.791] [SEVERE ] updating countdown to 31308
[23:40:36.900] [SEVERE ] updating countdown to 31199
[23:40:37.009] [SEVERE ] updating countdown to 31090
[23:40:37.118] [SEVERE ] updating countdown to 30981
[23:40:37.224] [SEVERE ] updating countdown to 30875
[23:40:37.334] [SEVERE ] updating countdown to 30765
[23:40:37.442] [SEVERE ] updating countdown to 30657
[23:40:37.551] [SEVERE ] updating countdown to 30548
[23:40:37.659] [SEVERE ] updating countdown to 30440
[23:40:37.769] [SEVERE ] updating countdown to 30330
[23:40:37.879] [SEVERE ] updating countdown to 30220
[23:40:37.989] [SEVERE ] updating countdown to 30110
[23:40:38.099] [SEVERE ] updating countdown to 30000
[23:40:38.208] [SEVERE ] updating countdown to 29891
[23:40:38.318] [SEVERE ] updating countdown to 29781
[23:40:38.427] [SEVERE ] updating countdown to 29672
[23:40:38.536] [SEVERE ] updating countdown to 29563
[23:40:38.644] [SEVERE ] updating countdown to 29455
[23:40:38.754] [SEVERE ] updating countdown to 29345
[23:40:38.861] [SEVERE ] updating countdown to 29238
[23:40:38.971] [SEVERE ] updating countdown to 29128
[23:40:39.081] [SEVERE ] updating countdown to 29018
[23:40:39.190] [SEVERE ] updating countdown to 28909
[23:40:39.298] [SEVERE ] updating countdown to 28801
[23:40:39.407] [SEVERE ] updating countdown to 28692
[23:40:39.516] [SEVERE ] updating countdown to 28583
[23:40:39.626] [SEVERE ] updating countdown to 28473
[23:40:39.749] [SEVERE ] updating countdown to 28350
[23:40:39.967] [SEVERE ] updating countdown to 28132
[23:40:40.076] [SEVERE ] updating countdown to 28023
[23:40:40.185] [SEVERE ] updating countdown to 27914
[23:40:40.293] [SEVERE ] updating countdown to 27806
[23:40:40.403] [SEVERE ] updating countdown to 27696
[23:40:40.511] [SEVERE ] updating countdown to 27588
[23:40:40.619] [SEVERE ] updating countdown to 27480
[23:40:40.727] [SEVERE ] updating countdown to 27372
[23:40:40.837] [SEVERE ] updating countdown to 27262
[23:40:40.948] [SEVERE ] updating countdown to 27151
[23:40:41.061] [SEVERE ] updating countdown to 27038
[23:40:41.172] [SEVERE ] updating countdown to 26927
[23:40:41.283] [SEVERE ] updating countdown to 26816
[23:40:41.393] [SEVERE ] updating countdown to 26706
[23:40:41.502] [SEVERE ] updating countdown to 26597
[23:40:41.611] [SEVERE ] updating countdown to 26488
[23:40:41.723] [SEVERE ] updating countdown to 26376
[23:40:41.832] [SEVERE ] updating countdown to 26267
